country_or_area,initial_year,initial_transformation,slope,r_squared
Republic of Moldova,1992,1400,-35.68675889328016,0.48460366478757877
Réunion,1990,54,1.3066923076923083,0.19021183475908832
Romania,1990,6492,-228.60846153846157,0.8971030929594216
Russian Federation,1992,56504,-1904.668972332023,0.8082419959129961
Saudi Arabia,1996,90,254.24736842104755,0.5232735783108995
Senegal,1990,245,11.784615384615387,0.774898198501281
Serbia,2005,499,-55.93333333333567,0.9386333521105495
Serbia and Montenegro,1992,310,-20.274725274725494,0.4850214396709837
Seychelles,1990,7,2.536776923076923,0.5688934272859903
Sierra Leone,1990,22,1.9999999999990252,1
Singapore,1990,4450,-235.5069230769231,0.6587883085246763
Sint Maarten (Dutch part),2012,76.5,1.9500000000009925,0.9997808939526817
Slovakia,1992,400,-20.682806324111063,0.40493572540836
Slovenia,1992,117,-6.169960474308364,0.662888468010946
Spain,1990,2106,-35.330769230769256,0.04567197649396037
Sri Lanka,1990,5,37.59716153846154,0.8320859140786883
St. Lucia,1990,1,3.14018491736601e-16,NaN
Sudan,2012,357,8.000000000027187,0.010126048204267404
Sudan (former),1990,35,22.60869565217341,0.8121661229029394
Suriname,1995,227,5.775413533834391,0.5813042755925605
Sweden,1990,393,-31.842307692307685,0.46688624989217076
Switzerland,1990,98,-5.879565217391577,0.6092301713608723
Syrian Arab Republic,1990,2255,58.292307692307666,0.1428985723269331
T.F.Yug.Rep. Macedonia,1992,99,1.269590909090954,0.022668002641516274
Thailand,1990,2404,-196.86382138461542,0.6564685071914796
Togo,2010,9.9,3.0799999999998846,0.23432467147517286
Tonga,2012,11.5,-0.004500000000003987,0.748179814427847
Trinidad and Tobago,1991,1,NA,0
Tunisia,1990,357,-17.698461538461547,0.3555472622657248
Turkey,1990,1067,-47.96615384615385,0.3112512978715664
Uganda,2010,2.9,3.972054645195637e-16,0.5555555555555975
Ukraine,1992,5800,-158.5760869565202,0.5172968297894419
United Arab Emirates,1990,50,-0.20615384615384602,0.09795962902345877
United Kingdom,1990,7313,-234.84230769230774,0.7298517924115094
United Rep. of Tanzania,2005,173,7.660606060606939,0.08287747237654106
United States,1990,25666,-998.9038461538465,0.6507512816412792
Uruguay,1990,104,7.531692307692309,0.19557224979323257
Uzbekistan,1992,2146,-101.25296442687886,0.8986425133975081
Venezuela (Bolivar. Rep.),1990,1566,17.168076923076924,0.050002049172228974
Viet Nam,1990,226,3.518461538461538,0.009814017192554805
Yemen,1991,506,14.9582608695653,0.3758468260389784
Zambia,1995,5,0.7714285714285364,0.07998360021481066
