country_or_area,slope,r_squared,year,unit,quantity
United States,-40.6923076923077,0.04827201980941264,1993,"Metric tons,  thousand",1765
United States,-40.6923076923077,0.04827201980941264,1994,"Metric tons,  thousand",2190
United States,-40.6923076923077,0.04827201980941264,1995,"Metric tons,  thousand",2086
United States,-40.6923076923077,0.04827201980941264,1996,"Metric tons,  thousand",2508
United States,-40.6923076923077,0.04827201980941264,1997,"Metric tons,  thousand",2976
United States,-40.6923076923077,0.04827201980941264,1998,"Metric tons,  thousand",5793
United States,-40.6923076923077,0.04827201980941264,1999,"Metric tons,  thousand",5862
United States,-40.6923076923077,0.04827201980941264,2000,"Metric tons,  thousand",4792
United States,-40.6923076923077,0.04827201980941264,2001,"Metric tons,  thousand",4572
United States,-40.6923076923077,0.04827201980941264,2002,"Metric tons,  thousand",3115
United States,-40.6923076923077,0.04827201980941264,2003,"Metric tons,  thousand",4373
United States,-40.6923076923077,0.04827201980941264,2004,"Metric tons,  thousand",3300
United States,-40.6923076923077,0.04827201980941264,2005,"Metric tons,  thousand",2837
United States,-40.6923076923077,0.04827201980941264,2006,"Metric tons,  thousand",1793
United States,-40.6923076923077,0.04827201980941264,2007,"Metric tons,  thousand",2128
United States,-40.6923076923077,0.04827201980941264,2008,"Metric tons,  thousand",1751
United States,-40.6923076923077,0.04827201980941264,2009,"Metric tons,  thousand",1722
United States,-40.6923076923077,0.04827201980941264,2010,"Metric tons,  thousand",1898
United States,-40.6923076923077,0.04827201980941264,2011,"Metric tons,  thousand",1513
United States,-40.6923076923077,0.04827201980941264,2012,"Metric tons,  thousand",1254
United States,-40.6923076923077,0.04827201980941264,2013,"Metric tons,  thousand",1322
United States,-40.6923076923077,0.04827201980941264,2014,"Metric tons,  thousand",1964
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1990,"Metric tons,  thousand",1868
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1991,"Metric tons,  thousand",1771
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1992,"Metric tons,  thousand",1923
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1993,"Metric tons,  thousand",1572
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1994,"Metric tons,  thousand",1597
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1995,"Metric tons,  thousand",1818
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1996,"Metric tons,  thousand",1443
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1997,"Metric tons,  thousand",1475
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1998,"Metric tons,  thousand",1202
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,1999,"Metric tons,  thousand",1271
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2000,"Metric tons,  thousand",1337
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2001,"Metric tons,  thousand",1712
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2002,"Metric tons,  thousand",1754
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2003,"Metric tons,  thousand",1856
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2004,"Metric tons,  thousand",2463
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2005,"Metric tons,  thousand",2305.483029
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2006,"Metric tons,  thousand",4091.383812
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2007,"Metric tons,  thousand",3966.057441
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2008,"Metric tons,  thousand",3832.02785
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2009,"Metric tons,  thousand",4294.168842
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2010,"Metric tons,  thousand",5151.436031
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2011,"Metric tons,  thousand",8186.248912
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2012,"Metric tons,  thousand",6760.661445
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2013,"Metric tons,  thousand",6762.402089
Iran (Islamic Rep. of),245.97645109153845,0.6995561804530539,2014,"Metric tons,  thousand",7480
Russian Federation,39.31620553359761,0.7473393832341896,1992,"Metric tons,  thousand",1430
Russian Federation,39.31620553359761,0.7473393832341896,1993,"Metric tons,  thousand",1458
Russian Federation,39.31620553359761,0.7473393832341896,1994,"Metric tons,  thousand",1227
Russian Federation,39.31620553359761,0.7473393832341896,1995,"Metric tons,  thousand",1274
Russian Federation,39.31620553359761,0.7473393832341896,1996,"Metric tons,  thousand",1091
Russian Federation,39.31620553359761,0.7473393832341896,1997,"Metric tons,  thousand",1080
Russian Federation,39.31620553359761,0.7473393832341896,1998,"Metric tons,  thousand",1414
Russian Federation,39.31620553359761,0.7473393832341896,1999,"Metric tons,  thousand",1530
Russian Federation,39.31620553359761,0.7473393832341896,2000,"Metric tons,  thousand",1502
Russian Federation,39.31620553359761,0.7473393832341896,2001,"Metric tons,  thousand",1463
Russian Federation,39.31620553359761,0.7473393832341896,2002,"Metric tons,  thousand",1475
Russian Federation,39.31620553359761,0.7473393832341896,2003,"Metric tons,  thousand",1436
Russian Federation,39.31620553359761,0.7473393832341896,2004,"Metric tons,  thousand",1442
Russian Federation,39.31620553359761,0.7473393832341896,2005,"Metric tons,  thousand",1554
Russian Federation,39.31620553359761,0.7473393832341896,2006,"Metric tons,  thousand",1500
Russian Federation,39.31620553359761,0.7473393832341896,2007,"Metric tons,  thousand",1900
Russian Federation,39.31620553359761,0.7473393832341896,2008,"Metric tons,  thousand",2050
Russian Federation,39.31620553359761,0.7473393832341896,2009,"Metric tons,  thousand",1900
Russian Federation,39.31620553359761,0.7473393832341896,2010,"Metric tons,  thousand",1995
Russian Federation,39.31620553359761,0.7473393832341896,2011,"Metric tons,  thousand",1999
Russian Federation,39.31620553359761,0.7473393832341896,2012,"Metric tons,  thousand",1975
Russian Federation,39.31620553359761,0.7473393832341896,2013,"Metric tons,  thousand",1935
Russian Federation,39.31620553359761,0.7473393832341896,2014,"Metric tons,  thousand",2015
China,-138.91246153846154,0.4297671323627929,1990,"Metric tons,  thousand",1269
China,-138.91246153846154,0.4297671323627929,1991,"Metric tons,  thousand",2168
China,-138.91246153846154,0.4297671323627929,1992,"Metric tons,  thousand",3416
China,-138.91246153846154,0.4297671323627929,1993,"Metric tons,  thousand",3590
China,-138.91246153846154,0.4297671323627929,1994,"Metric tons,  thousand",2686
China,-138.91246153846154,0.4297671323627929,1995,"Metric tons,  thousand",2515
China,-138.91246153846154,0.4297671323627929,1996,"Metric tons,  thousand",2832
China,-138.91246153846154,0.4297671323627929,1997,"Metric tons,  thousand",7420
China,-138.91246153846154,0.4297671323627929,1998,"Metric tons,  thousand",2039
China,-138.91246153846154,0.4297671323627929,1999,"Metric tons,  thousand",2155
China,-138.91246153846154,0.4297671323627929,2000,"Metric tons,  thousand",2277
China,-138.91246153846154,0.4297671323627929,2001,"Metric tons,  thousand",2404
China,-138.91246153846154,0.4297671323627929,2002,"Metric tons,  thousand",2291
China,-138.91246153846154,0.4297671323627929,2003,"Metric tons,  thousand",769.6
China,-138.91246153846154,0.4297671323627929,2004,"Metric tons,  thousand",1339.7
China,-138.91246153846154,0.4297671323627929,2005,"Metric tons,  thousand",855
China,-138.91246153846154,0.4297671323627929,2006,"Metric tons,  thousand",763.8
China,-138.91246153846154,0.4297671323627929,2007,"Metric tons,  thousand",721.2
China,-138.91246153846154,0.4297671323627929,2008,"Metric tons,  thousand",694.9
China,-138.91246153846154,0.4297671323627929,2009,"Metric tons,  thousand",565.9
China,-138.91246153846154,0.4297671323627929,2010,"Metric tons,  thousand",438.3
China,-138.91246153846154,0.4297671323627929,2011,"Metric tons,  thousand",415.7
China,-138.91246153846154,0.4297671323627929,2012,"Metric tons,  thousand",380.1
China,-138.91246153846154,0.4297671323627929,2013,"Metric tons,  thousand",382
China,-138.91246153846154,0.4297671323627929,2014,"Metric tons,  thousand",305.6
Germany,-33.62086956521773,0.9036077450154776,1991,"Metric tons,  thousand",1172
Germany,-33.62086956521773,0.9036077450154776,1992,"Metric tons,  thousand",845
Germany,-33.62086956521773,0.9036077450154776,1993,"Metric tons,  thousand",941
Germany,-33.62086956521773,0.9036077450154776,1994,"Metric tons,  thousand",980
Germany,-33.62086956521773,0.9036077450154776,1995,"Metric tons,  thousand",956
Germany,-33.62086956521773,0.9036077450154776,1996,"Metric tons,  thousand",953
Germany,-33.62086956521773,0.9036077450154776,1997,"Metric tons,  thousand",793
Germany,-33.62086956521773,0.9036077450154776,1998,"Metric tons,  thousand",766
Germany,-33.62086956521773,0.9036077450154776,1999,"Metric tons,  thousand",690
Germany,-33.62086956521773,0.9036077450154776,2000,"Metric tons,  thousand",589
Germany,-33.62086956521773,0.9036077450154776,2001,"Metric tons,  thousand",579
Germany,-33.62086956521773,0.9036077450154776,2002,"Metric tons,  thousand",514
Germany,-33.62086956521773,0.9036077450154776,2003,"Metric tons,  thousand",554
Germany,-33.62086956521773,0.9036077450154776,2004,"Metric tons,  thousand",490
