country_or_area,slope,r_squared,year,unit,quantity
Romania,-15751.828461538471,0.7810813249434708,2008,Terajoules,171193
Romania,-15751.828461538471,0.7810813249434708,2009,Terajoules,133806
Romania,-15751.828461538471,0.7810813249434708,2010,Terajoules,129531
Romania,-15751.828461538471,0.7810813249434708,2011,Terajoules,136148
Romania,-15751.828461538471,0.7810813249434708,2012,Terajoules,131746
Romania,-15751.828461538471,0.7810813249434708,2013,Terajoules,124301
Romania,-15751.828461538471,0.7810813249434708,2014,Terajoules,113051
Italy,43160.343846153846,0.6838089813014002,1990,Terajoules,375640
Italy,43160.343846153846,0.6838089813014002,1991,Terajoules,346568
Italy,43160.343846153846,0.6838089813014002,1992,Terajoules,335963
Italy,43160.343846153846,0.6838089813014002,1993,Terajoules,377546
Italy,43160.343846153846,0.6838089813014002,1994,Terajoules,371112
Italy,43160.343846153846,0.6838089813014002,1995,Terajoules,436142
Italy,43160.343846153846,0.6838089813014002,1996,Terajoules,458321
Italy,43160.343846153846,0.6838089813014002,1997,Terajoules,538802
Italy,43160.343846153846,0.6838089813014002,1998,Terajoules,629550
Italy,43160.343846153846,0.6838089813014002,1999,Terajoules,760857
Italy,43160.343846153846,0.6838089813014002,2000,Terajoules,869419
Italy,43160.343846153846,0.6838089813014002,2001,Terajoules,833212
Italy,43160.343846153846,0.6838089813014002,2002,Terajoules,860186
Italy,43160.343846153846,0.6838089813014002,2003,Terajoules,980954
Italy,43160.343846153846,0.6838089813014002,2004,Terajoules,1176625
Italy,43160.343846153846,0.6838089813014002,2005,Terajoules,1315713
Italy,43160.343846153846,0.6838089813014002,2006,Terajoules,1349619
Italy,43160.343846153846,0.6838089813014002,2007,Terajoules,1458575
Italy,43160.343846153846,0.6838089813014002,2008,Terajoules,1440974
Italy,43160.343846153846,0.6838089813014002,2009,Terajoules,1229672
Italy,43160.343846153846,0.6838089813014002,2010,Terajoules,1295794
Italy,43160.343846153846,0.6838089813014002,2011,Terajoules,1225420
Italy,43160.343846153846,0.6838089813014002,2012,Terajoules,1112248
Italy,43160.343846153846,0.6838089813014002,2013,Terajoules,938888
Italy,43160.343846153846,0.6838089813014002,2014,Terajoules,829412
United Arab Emirates,49500.68820923076,0.9302990700896142,1990,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1991,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1992,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1993,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1994,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1995,Terajoules,35e4
United Arab Emirates,49500.68820923076,0.9302990700896142,1996,Terajoules,374275
United Arab Emirates,49500.68820923076,0.9302990700896142,1997,Terajoules,400946
United Arab Emirates,49500.68820923076,0.9302990700896142,1998,Terajoules,449695
United Arab Emirates,49500.68820923076,0.9302990700896142,1999,Terajoules,499994.9982
United Arab Emirates,49500.68820923076,0.9302990700896142,2000,Terajoules,555920.9997
United Arab Emirates,49500.68820923076,0.9302990700896142,2001,Terajoules,618103.0001
United Arab Emirates,49500.68820923076,0.9302990700896142,2002,Terajoules,687239.9982
United Arab Emirates,49500.68820923076,0.9302990700896142,2003,Terajoules,764109.9985
United Arab Emirates,49500.68820923076,0.9302990700896142,2004,Terajoules,923979.9993
United Arab Emirates,49500.68820923076,0.9302990700896142,2005,Terajoules,988643
United Arab Emirates,49500.68820923076,0.9302990700896142,2006,Terajoules,1057818
United Arab Emirates,49500.68820923076,0.9302990700896142,2007,Terajoules,1057818
United Arab Emirates,49500.68820923076,0.9302990700896142,2008,Terajoules,1249092
United Arab Emirates,49500.68820923076,0.9302990700896142,2009,Terajoules,1142240
United Arab Emirates,49500.68820923076,0.9302990700896142,2010,Terajoules,1167731
United Arab Emirates,49500.68820923076,0.9302990700896142,2011,Terajoules,1345717.227
United Arab Emirates,49500.68820923076,0.9302990700896142,2012,Terajoules,1240438.569
United Arab Emirates,49500.68820923076,0.9302990700896142,2013,Terajoules,1328899.176
United Arab Emirates,49500.68820923076,0.9302990700896142,2014,Terajoules,1209651
Netherlands,6818.785384615378,0.42320981283824005,1990,Terajoules,330704
Netherlands,6818.785384615378,0.42320981283824005,1991,Terajoules,378215
Netherlands,6818.785384615378,0.42320981283824005,1992,Terajoules,400122
Netherlands,6818.785384615378,0.42320981283824005,1993,Terajoules,404995
Netherlands,6818.785384615378,0.42320981283824005,1994,Terajoules,404315
Netherlands,6818.785384615378,0.42320981283824005,1995,Terajoules,418992
Netherlands,6818.785384615378,0.42320981283824005,1996,Terajoules,457147
Netherlands,6818.785384615378,0.42320981283824005,1997,Terajoules,488355
Netherlands,6818.785384615378,0.42320981283824005,1998,Terajoules,503430
Netherlands,6818.785384615378,0.42320981283824005,1999,Terajoules,499307
Netherlands,6818.785384615378,0.42320981283824005,2000,Terajoules,503819
Netherlands,6818.785384615378,0.42320981283824005,2001,Terajoules,532463
Netherlands,6818.785384615378,0.42320981283824005,2002,Terajoules,547922
Netherlands,6818.785384615378,0.42320981283824005,2003,Terajoules,545505
Netherlands,6818.785384615378,0.42320981283824005,2004,Terajoules,579580
Netherlands,6818.785384615378,0.42320981283824005,2005,Terajoules,550764
Netherlands,6818.785384615378,0.42320981283824005,2006,Terajoules,527083
Netherlands,6818.785384615378,0.42320981283824005,2007,Terajoules,548533
Netherlands,6818.785384615378,0.42320981283824005,2008,Terajoules,564431
Netherlands,6818.785384615378,0.42320981283824005,2009,Terajoules,601160
Netherlands,6818.785384615378,0.42320981283824005,2010,Terajoules,641596
Netherlands,6818.785384615378,0.42320981283824005,2011,Terajoules,568985
Netherlands,6818.785384615378,0.42320981283824005,2012,Terajoules,471104
Netherlands,6818.785384615378,0.42320981283824005,2013,Terajoules,461049
Netherlands,6818.785384615378,0.42320981283824005,2014,Terajoules,433700
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1990,Terajoules,311997
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1991,Terajoules,348600
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1992,Terajoules,361382
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1993,Terajoules,452634
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1994,Terajoules,520562
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1995,Terajoules,520838
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1996,Terajoules,558737
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1997,Terajoules,652326
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1998,Terajoules,800383
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,1999,Terajoules,870448
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2000,Terajoules,900575
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2001,Terajoules,983943
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2002,Terajoules,1086146.998635
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2003,Terajoules,1191243.998272
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2004,Terajoules,1286212.000868
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2005,Terajoules,1367803.113
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2006,Terajoules,1375061.019
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2007,Terajoules,1442762.454
Iran (Islamic Rep. of),67146.6589815446,0.9441411714991399,2008,Terajoules,1693940.631
